id,barrio,cant_amb,cant_banos,sup_total,sup_cub,precio,tipo_prop
oyj+f764ALCYodIqBvWAww==,6,4.994694889361645,1.4973474446808224,300.0,180.0,320000,2
HdjpKrqdwYfH9YU1DKjltg==,7,6.0,2.0,178.0,240.0,500000,3
YwWE3rTb2+gmsBwjUHmAPQ==,8,5.0987038222932695,2.0,240.0,157.0,350000,3
6AxnSWOhbIU8TUCqb+paBg==,9,3.0,4.0,157.0,153.32142515626515,470000,3
U4fk+co3Rd8JDMot0pQI6Q==,10,3.5022840270329505,1.0,140.0,110.0,155000,3
AfdcsqUSelai1ofCAq2B0Q==,11,3.0,2.0,95.0,69.0,199900,3
kwRJ0xEcJyR+/hgLnJW/YQ==,12,0.0,0.0,134.0,195.9801543196861,349000,4
m7hheV9u6D3VxRuYMF2AQQ==,15,0.0,0.0,167.0,166.2630733791812,360000,4
nfsvNRP/uwFZmntkFMRxgw==,16,0.0,0.0,134.0,178.05693716049268,370000,4
YjcvYbAGs223xPkiVAF7TQ==,18,0.0,0.0,97.0,97.0,179000,5
mj0jYb2dmLNp7dlSAVsEug==,19,0.0,0.0,104.0,104.0,199000,5
oO3WJx+3SP4A9jqBy1sMng==,20,0.0,0.0,85.0,85.0,127000,5
ESzybdH7YU2uIU1/kHtRGw==,21,1.0,1.0,44.0,38.0,147000,6
r22OfzZ3kXooSPoE5HMuZQ==,1,1.0,1.0,40.0,37.0,92294,6
atZQXVtyfG7+OiX6gYY3lA==,1,1.0,1.0,49.0,44.0,115000,6
R7IsTtVsxPCiRbIHMaWGxA==,1,1.0,1.0,40.0,37.0,77000,6
Tur/v/qE41UBT83NM/bI7w==,1,1.0,1.0,40.0,37.0,88900,6
PNtNl6sWjHEyRPQAeRAIgw==,1,1.0,1.0,40.0,37.0,88798,6
Lhg4dNG9VmPbHt0Swy2ATA==,1,1.0,1.0,49.0,44.0,110975,6
MFngc+8f1sFriO+lteUuZw==,1,1.0,1.0,40.0,37.0,92943,6
mVq2X1mkiRWN9A34SR7AoA==,1,1.0,1.0,23.0,23.0,69000,6
oeLhuwomY2yj4A9TtDrgCA==,1,1.0,1.0,40.0,37.0,99000,6
FmtrGFKvbW1cAmPdOafxbA==,1,1.0,1.0,40.0,37.0,96984,6
j3TPUzK3MS+Al1oSBdDwPQ==,8,1.0,1.0,32.0,30.0,125000,6
QohS/eOYCforD1lMAO5xWQ==,8,1.0,1.0,40.0,34.0,99500,6
WEJo+0VJA9h/9SSarNFwHw==,8,1.0,1.0,36.0,33.0,121600,6
ByY9fh3StPKq4zCRtWeNCg==,8,3.0,2.0,90.0,90.0,285000,6
jtR+xskLLJjJBPuSA3MwKg==,8,1.0,1.0,45.0,35.0,150000,6
MbPmZ9H7zmQO/0PM3bGorA==,8,1.0,1.0,54.0,48.0,140000,6
ep41mLAb7DbaEaQO463jmw==,8,2.0,1.0,40.0,40.0,110000,6
UOCjxLLCRdZ9ZA3AF+Rk+w==,8,1.0,1.0,33.0,32.0,110000,6
jHVNdA+pFvFgvIvElqYQrA==,8,1.0,1.0,40.0,34.0,96000,6
s/LOR3+o+ftG9gBgN9mX2g==,9,2.0,1.0,59.0,41.0,248200,6
HchjBwJ7xoMsyPu7+wr2Hw==,22,1.0,1.0,40.0,36.0,152732,6
/fKWVH/CO3cNDQzr/u1wmw==,23,1.7960021460683984,1.0,55.0,55.0,99000,6
70tWR50POlkZozfzDSOHLA==,24,5.0,1.499466216439567,127.0,127.0,310000,6
VI36xWzkGnmQ8BPj2b2LZQ==,15,1.0,1.0,36.0,33.0,108000,6
uYtlstOiGwrzC+Bveem70Q==,15,1.0,1.0,38.0,34.0,94800,6
V1Z1MLnb0ltAf1avbmeW+w==,4,1.0,1.0,32.0,29.0,88000,6
R+yVbxakCV5KnTARJerZww==,4,2.0,2.0,75.0,68.0,225000,6
3mG1aRPOTKwP9r7ATiOq0Q==,26,1.0,1.0,70.0,70.0,225000,6
TrcvWjoRD3IUBeGgaPFc5A==,12,0.0,0.0,50.0,50.0,260000,7
C0udbKDrdnjHuygvRxTwMw==,8,0.0,0.0,67.0,67.0,450000,7
zYWCuNNUUsB25ni86SXxoQ==,8,0.0,0.0,130.0,130.0,309800,7
TQ2Z9jTLpYwBsPp3UVBmmA==,27,0.0,0.0,36.0,36.0,120000,7
sprmySwo754xn5V+RkBBVw==,6,1.0,1.0,31.0,28.0,85000,6
